sedol,bbcode,LOTSIZE,STATUS,CURNY,PRICECLOSE,beta,sector,sector name,group,group name,exchange_rate
6139555,1104 HK Equity,20000,ACTV,HKD,0.182,0.6458226,20,Industrials,2010,Capital Goods,0.12901
6140290,54 HK Equity,500,ACTV,HKD,27.35,0.7384219,20,Industrials,2010,Capital Goods,0.12901
6142423,NCL SP Equity,1000,ACTV,SGD,0.495,0.7386871,20,Industrials,2010,Capital Goods,0.8002
6142780,1071 HK Equity,2000,ACTV,HKD,5.25,0.4707519,55,Utilities,5510,Utilities,0.12901
6143998,CSE SP Equity,1000,ACTV,SGD,0.75,0.5404008,45,Information Technology,4510,Software & Services,0.8002
6144991,CHOS SP Equity,1000,ACTV,SGD,0.137,0.4429,20,Industrials,2010,Capital Goods,0.8002
6150095,LBG SP Equity,1000,ACTV,SGD,0.71,0.8155548,20,Industrials,2010,Capital Goods,0.8002
6150976,234 HK Equity,8000,ACTV,HKD,0.161,0.7526491,25,Consumer Discretionary,2530,Consumer Services,0.12901
6151496,108 HK Equity,2000,ACTV,HKD,2.8,0.6914981,20,Industrials,2020,Commercial & Professional Serv,0.12901
6152927,VPS SP Equity,1000,ACTV,SGD,0.086,#N/A N/A,35,Health Care,3510,Health Care Equipment & Servic,0.8002
6153191,PTC SP Equity,1000,ACTV,SGD,0.735,0.3836611,20,Industrials,2030,Transportation,0.8002
6155089,125 HK Equity,2000,ACTV,HKD,2.69,0.4954698,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6155948,24 HK Equity,2000,ACTV,HKD,0.255,0.3990155,20,Industrials,2010,Capital Goods,0.12901
6158129,ASTI SP Equity,1000,ACTV,SGD,0.054,0.6724826,45,Information Technology,4530,Semiconductors & Semiconductor,0.8002
6158163,5 HK Equity,400,ACTV,HKD,82.2,0.911203,40,Financials,4010,Banks,0.12901
6159672,480 HK Equity,800,ACTV,HKD,3.76,0.8347104,40,Financials,4040,Real Estate,0.12901
6160953,341 HK Equity,2000,ACTV,HKD,28.1,0.4448251,25,Consumer Discretionary,2530,Consumer Services,0.12901
6162078,HSE SP Equity,1000,ACTV,SGD,0.187,0.5709934,10,Energy,1010,Energy,0.8002
6162357,298 HK Equity,1000,ACTV,HKD,0.57,0.5540683,40,Financials,4040,Real Estate,0.12901
6162692,934 HK Equity,2000,ACTV,HKD,6.29,0.5327658,10,Energy,1010,Energy,0.12901
6163275,XPH SP Equity,1000,ACTV,SGD,0.015,-0.04902112,20,Industrials,2020,Commercial & Professional Serv,0.8002
6163327,ASP SP Equity,1000,ACTV,SGD,0.46,0.4833744,40,Financials,4040,Real Estate,0.8002
6163866,1187 HK Equity,2000,SUSP,HKD,2.61,0.1878001,25,Consumer Discretionary,2510,Automobiles & Components,0.12901
6163929,917 HK Equity,2000,ACTV,HKD,4.65,0.6596228,40,Financials,4040,Real Estate,0.12901
6163963,61 HK Equity,5000,ACTV,HKD,0.17,0.383964,45,Information Technology,4510,Software & Services,0.12901
6164472,GGR SP Equity,1000,ACTV,SGD,0.525,0.7625031,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6167363,LHT SP Equity,1000,ACTV,SGD,0.124,0.5333952,15,Materials,1510,Materials,0.8002
6168418,KST SP Equity,1000,ACTV,SGD,0.48,0.2419267,20,Industrials,2010,Capital Goods,0.8002
6168485,DELM SP Equity,1000,ACTV,SGD,0.525,1.118555,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6168634,1013 HK Equity,2000,ACTV,HKD,0.042,0.8389321,45,Information Technology,4510,Software & Services,0.12901
6171375,670 HK Equity,2000,ACTV,HKD,2.6,1.375107,20,Industrials,2030,Transportation,0.12901
6172798,58 HK Equity,2000,ACTV,HKD,0.34,0.3322353,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6174307,TWC SP Equity,1000,ACTV,SGD,0.335,0.8117949,20,Industrials,2020,Commercial & Professional Serv,0.8002
6175203,DBS SP Equity,1000,ACTV,SGD,17.96,1.084947,40,Financials,4010,Banks,0.8002
6175300,GGL SP Equity,1000,ACTV,SGD,0.082,0.7770667,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6178859,93 HK Equity,2000,ACTV,HKD,0.8,0.652237,40,Financials,4040,Real Estate,0.12901
6179573,903 HK Equity,2000,ACTV,HKD,1.66,1.131545,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6179614,539 HK Equity,2000,ACTV,HKD,1.06,0.8330187,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6179755,293 HK Equity,1000,ACTV,HKD,14.8,0.977209,20,Industrials,2030,Transportation,0.12901
6179830,TPV SP Equity,1000,ACTV,SGD,0.23,#N/A N/A,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6180274,DFI SP Equity,900,ACTV,USD,10.17,0.6429137,30,Consumer Staples,3010,Food & Staples Retailing,1
6180304,EAST SP Equity,1000,ACTV,SGD,0.031,0.5858256,20,Industrials,2010,Capital Goods,0.8002
6180650,NLPM SP Equity,1000,ACTV,SGD,0.29,0.7481269,20,Industrials,2010,Capital Goods,0.8002
6180810,HMI SP Equity,1000,ACTV,SGD,0.235,0.8572061,35,Health Care,3510,Health Care Equipment & Servic,0.8002
6180995,YNH SP Equity,1000,ACTV,SGD,0.22,0.6412301,20,Industrials,2010,Capital Goods,0.8002
6181006,769 HK Equity,2000,ACTV,HKD,1.2,1.021545,15,Materials,1510,Materials,0.12901
6181482,1114 HK Equity,2000,ACTV,HKD,14.46,0.9908956,25,Consumer Discretionary,2510,Automobiles & Components,0.12901
6183983,SAPP SP Equity,1000,ACTV,SGD,0.08,0.3093906,15,Materials,1510,Materials,0.8002
6185150,355 HK Equity,4000,ACTV,HKD,0.62,0.6156294,25,Consumer Discretionary,2530,Consumer Services,0.12901
6185343,735 HK Equity,20000,ACTV,HKD,0.56,0.8140559,55,Utilities,5510,Utilities,0.12901
6185440,1037 HK Equity,2000,ACTV,HKD,0.63,1.587893,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6185514,CH SP Equity,1000,ACTV,SGD,0.29,0.5844448,45,Information Technology,4520,Technology Hardware & Equipmen,0.8002
6187189,1196 HK Equity,2000,ACTV,HKD,1.06,0.6378491,15,Materials,1510,Materials,0.12901
6187361,1043 HK Equity,2000,ACTV,HKD,6.7,1.493248,30,Consumer Staples,3030,Household & Personal Products,0.12901
6188290,759 HK Equity,2000,ACTV,HKD,3,0.5873259,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6189204,133 HK Equity,2000,ACTV,HKD,12,1.022031,40,Financials,4020,Diversified Financials,0.12901
6189635,687 HK Equity,2000,ACTV,HKD,3.26,0.5126927,20,Industrials,2010,Capital Goods,0.12901
6189646,57 HK Equity,2000,ACTV,HKD,2.33,0.4872077,20,Industrials,2010,Capital Goods,0.12901
6189947,CHEM SP Equity,1000,ACTV,SGD,0.525,#N/A N/A,15,Materials,1510,Materials,0.8002
6189992,513 HK Equity,10000,ACTV,HKD,0.131,0.7591636,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6190273,1 HK Equity,1000,ACTV,HKD,143.7,0.9722574,40,Financials,4040,Real Estate,0.12901
6190897,26 HK Equity,200,ACTV,HKD,63.4,0.4482643,40,Financials,4040,Real Estate,0.12901
6191180,127 HK Equity,500,ACTV,HKD,21.15,0.4375493,40,Financials,4040,Real Estate,0.12901
6191191,216 HK Equity,4000,ACTV,HKD,1.31,0.5019401,40,Financials,4040,Real Estate,0.12901
6191544,701 HK Equity,2000,ACTV,HKD,0.4,0.4408538,15,Materials,1510,Materials,0.12901
6191588,132 HK Equity,1000,ACTV,HKD,0.55,0.579649,25,Consumer Discretionary,2530,Consumer Services,0.12901
6191599,170 HK Equity,5000,ACTV,HKD,3.41,0.4175411,40,Financials,4020,Diversified Financials,0.12901
6191997,1093 HK Equity,2000,ACTV,HKD,6.1,0.3455272,35,Health Care,3520,"Pharmaceuticals, Biotechnology",0.12901
6192150,688 HK Equity,2000,ACTV,HKD,23.2,1.33256,40,Financials,4040,Real Estate,0.12901
6192365,1123 HK Equity,2000,ACTV,HKD,0.59,0.6110156,25,Consumer Discretionary,2550,Retailing,0.12901
6193131,CHIH SP Equity,1000,ACTV,SGD,0.043,0.8369982,55,Utilities,5510,Utilities,0.8002
6193681,116 HK Equity,1000,ACTV,HKD,19.64,1.002236,25,Consumer Discretionary,2550,Retailing,0.12901
6193766,1109 HK Equity,2000,ACTV,HKD,17.8,1.46463,40,Financials,4040,Real Estate,0.12901
6193788,1070 HK Equity,2000,ACTV,HKD,2.91,0.7542534,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6193926,CHIP SP Equity,1000,ACTV,SGD,0.815,0.9589863,20,Industrials,2010,Capital Goods,0.8002
6193937,1097 HK Equity,1000,ACTV,HKD,0.75,0.9139541,25,Consumer Discretionary,2540,Media,0.12901
6194026,I2I SP Equity,1000,ACTV,SGD,0.006,0.7218356,50,Telecommunication Services,5010,Telecommunication Services,0.8002
6195104,CASA SP Equity,1000,ACTV,SGD,0.176,0.4534518,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.8002
6195319,560 HK Equity,2000,ACTV,HKD,1.91,0.5596515,20,Industrials,2030,Transportation,0.12901
6195494,1079 HK Equity,2000,ACTV,HKD,0.255,-0.1015807,45,Information Technology,4520,Technology Hardware & Equipmen,0.12901
6196152,267 HK Equity,1000,ACTV,HKD,16.5,1.076139,20,Industrials,2010,Capital Goods,0.12901
6196271,711 HK Equity,2000,ACTV,HKD,0.94,0.573672,20,Industrials,2010,Capital Goods,0.12901
6197285,308 HK Equity,2000,ACTV,HKD,2.07,0.8560195,25,Consumer Discretionary,2530,Consumer Services,0.12901
6197393,8028 HK Equity,2000,ACTV,HKD,0.152,0.6221406,45,Information Technology,4510,Software & Services,0.12901
6197401,367 HK Equity,4000,ACTV,HKD,1.02,0.6785699,40,Financials,4040,Real Estate,0.12901
6197746,1073 HK Equity,2000,ACTV,HKD,0.199,0.9412724,20,Industrials,2010,Capital Goods,0.12901
6197917,657 HK Equity,2000,ACTV,HKD,0.248,0.1735086,25,Consumer Discretionary,2530,Consumer Services,0.12901
